slice_file_name,fsID,start,end,salience,fold,classID,class
100032-3-0-0.wav,100032,0,0.317551,1,5,2,dog_bark
100263-2-0-117.wav,100263,58.5,62.5,1,5,1,children_playing
100263-2-0-121.wav,100263,60.5,64.5,1,5,1,children_playing
100263-2-0-126.wav,100263,63,67,1,5,1,children_playing
100263-2-0-137.wav,100263,68.5,72.5,1,5,1,children_playing
100263-2-0-143.wav,100263,71.5,75.5,1,5,1,children_playing
100263-2-0-161.wav,100263,80.5,84.5,1,5,1,children_playing
100263-2-0-3.wav,100263,1.5,5.5,1,5,1,children_playing
100263-2-0-36.wav,100263,18,22,1,5,1,children_playing
100648-1-0-0.wav,100648,4.823402,5.471927,2,10,0,car_horn
100648-1-1-0.wav,100648,8.998279,10.052132,2,10,0,car_horn
100648-1-2-0.wav,100648,16.699509,17.104837,2,10,0,car_horn
100648-1-3-0.wav,100648,17.631764,19.253075,2,10,0,car_horn
100648-1-4-0.wav,100648,25.332994,27.197502,2,10,0,car_horn
100652-3-0-0.wav,100652,0,4,1,2,2,dog_bark
100652-3-0-1.wav,100652,0.5,4.5,1,2,2,dog_bark
100652-3-0-2.wav,100652,1,5,1,2,2,dog_bark
100652-3-0-3.wav,100652,1.5,5.5,1,2,2,dog_bark
100795-3-0-0.wav,100795,0.19179,4.19179,1,10,2,dog_bark
100795-3-1-0.wav,100795,13.059155,17.059155,1,10,2,dog_bark
100795-3-1-1.wav,100795,13.559155,17.559155,1,10,2,dog_bark
100795-3-1-2.wav,100795,14.059155,18.059155,1,10,2,dog_bark
101281-3-0-0.wav,101281,0.341333,4.341333,2,6,2,dog_bark
101281-3-0-14.wav,101281,7.341333,11.341333,2,6,2,dog_bark
101281-3-0-5.wav,101281,2.841333,6.841333,2,6,2,dog_bark
101382-2-0-10.wav,101382,5,9,1,10,1,children_playing
101382-2-0-12.wav,101382,6,10,1,10,1,children_playing
101382-2-0-20.wav,101382,10,14,1,10,1,children_playing
101382-2-0-21.wav,101382,10.5,14.5,1,10,1,children_playing
101382-2-0-29.wav,101382,14.5,18.5,1,10,1,children_playing
101382-2-0-33.wav,101382,16.5,20.5,1,10,1,children_playing
101382-2-0-42.wav,101382,21,25,1,10,1,children_playing
101382-2-0-45.wav,101382,22.5,26.5,1,10,1,children_playing
101415-3-0-2.wav,101415,1,5,1,1,2,dog_bark
101415-3-0-3.wav,101415,1.5,5.5,1,1,2,dog_bark
101415-3-0-8.wav,101415,4,8,1,1,2,dog_bark
102102-3-0-0.wav,102102,1.573952,4.673824,2,4,2,dog_bark
102103-3-0-0.wav,102103,1.97603,2.508892,2,10,2,dog_bark
102103-3-1-0.wav,102103,4.179637,4.568182,2,10,2,dog_bark
102104-3-0-0.wav,102104,2.429279,3.241121,2,2,2,dog_bark
102105-3-0-0.wav,102105,2.041889,6.041889,2,3,2,dog_bark
102106-3-0-0.wav,102106,2.243852,3.884477,2,1,2,dog_bark
102547-3-0-2.wav,102547,1,5,1,5,2,dog_bark
102547-3-0-7.wav,102547,3.5,7.5,1,5,2,dog_bark
102547-3-0-8.wav,102547,4,8,1,5,2,dog_bark
102842-3-0-1.wav,102842,0.5,4.5,2,1,2,dog_bark
102842-3-1-0.wav,102842,113.061785,117.061785,2,1,2,dog_bark
102842-3-1-5.wav,102842,115.561785,119.561785,2,1,2,dog_bark
102842-3-1-6.wav,102842,116.061785,120.061785,2,1,2,dog_bark
102853-8-0-0.wav,102853,0,4,2,7,3,siren
102853-8-0-1.wav,102853,0.5,4.5,2,7,3,siren
